link,price,code,Fabric Type,Neckline,Collection,Trouser,Sleeves,Embellishment,Color,Size,Shirt,Dupatta
https://www.junaidjamshed.com/off-white-lawn-unstitched-3pc-jlawn-s-24-106.html,pkr 4 920.00,JLAWN-S-24-106,lawn  doria,striped  solid  white  plain  unknown,spring  summer  collection  lawn  shirt  doria  dupatta  unstitched  piece,meter  checkered  striped  plaid  solid  polka  dot  dress  yes  cold  long,plaid  striped  floral  checkered  solid,,white  gray  blue  plaid  brown  black  yellow  white,3 piece,striped  plaid  floral  checkered  leopard blue  cotton  unknown  white,polka  dot  floral  paisley  checkered
https://www.junaidjamshed.com/green-jacquard-kurti-jjlk-s-jss-23-413.html,pkr 5 530.00,JJLK-S-JSS-23-413,handloom  fabric  jacquard,keyhole  neckline  striped  plain  white  solid  dress,printed  shirt  winter  collection  lady  kurti  casual,,bell  sleeve  long  short  white  striped  plaid,dori  tassel,green  blue  white  gray  teal,,front  open  style  floral  solid  plain  paisley  flower  straight  long  short  medium  tall  dress  cotton  blue  unknown  striped,
https://www.junaidjamshed.com/magenta-lawn-unstitched-3pc-jlawn-s-24-322-baharain-a-8.html,pkr 3 380.00,JLAWN-S-24-322 BAHARAIN A-8,lawn  chiffon,striped  solid  white  plain  plaid,festive  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,meter  plaid  striped  solid  plain  checkered  dress  short  long  wood,plaid  solid  striped  plain  stripe,,magenta  pink  white  red  purple  green  blue  black  white,3 piece,plaid  striped  solid  stripe  plain dress  cotton  white,plaid  stripe  flower  paisley  checkered
https://www.junaidjamshed.com/blue-cambric-kurti-jjlk-s-jss-24-355.html,pkr 3 070.00,JJLK-S-JSS-24-355,cambric  casual,round  neckline  slit  opening  striped  solid  white  unknown  plain,printed  lawn  shirt  spring  summer  collection  lady  kurti,,printed  sleeve  short  long  striped  red  plaid,hand  embellishment  neckline,blue  red  floral  pink  white,,printed  front  floral  striped  stripe  solid  paisley  back  regular  kameez  short  long  medium  yes  dress  cotton  blue  button  long,
https://www.junaidjamshed.com/dark-grey-khaddar-3-piece-stitched-jjpw-w-jw-22-1701.html,pkr 13 690.00,JJPW-W-JW-22-1701,khaddar  slub  light,magzi  white  striped  plain  solid  long,winter  collection  piece  stitched  embroidered  dyed  light  khaddar  slub  shirt  basic  trouser  digital  foil  acrylic  shawl  dupatta,solid  striped  plain  stripe  floral  short  long  straight  cold  dress  slack,embroidered  long  short  white  gray  black,,dark  grey  gray  brown  black  blue  white  purple  tan,,embroidered  solid  floral  striped  plain  stripe long  short  medium  tall  dress  cotton  blue  white  mid  length,solid  floral  plain  paisley  flower
https://www.junaidjamshed.com/multicolor-lawn-unstitched-3pc-jlawn-s-24-225.html,pkr 5 840.00,JLAWN-S-24-225,lawn  jacquard,solid  striped  plain  white  pink,spring  summer  collection  lawn  shirt  jacquard  dupatta  unstitched  piece,meter  solid  plain  striped  plaid  stripe  dress  long  short  plain,solid  plain  striped  floral  stripe,,multicolor  pink  red  purple  maroon  black  white  blue  yes  white,3 piece,solid  plain  floral  paisley  striped striped  dress  cotton  blue  unknown,solid  plain  pink  floral  striped
https://www.junaidjamshed.com/green-lawn-3pc-stitched-jlawn-s-24-470.html,pkr 10 670.00,JLAWN-S-24-470,lawn,loop  hole  neckline  striped  white  solid  plain  paisley,festive  collection  piece  stitched,straight  pant  floral  striped  plaid  solid  plain  short  long  neither  dress  cotton,fitted  sleeve  short  striped  long  white  red,dori  tassel  neckline,green  red  white  striped  floral  pink  blue  black  white,,floral  solid  striped  paisley  plain  paneled  shirt  long  short  medium  yes  cotton  dress  white  unknown  blue  long,floral  paisley  flower  plaid
https://www.junaidjamshed.com/multicolor-lawn-3pc-stitched-jlawn-s-24-464.html,pkr 7 790.00,JLAWN-S-24-464,lawn,round  neck  slit  striped  plaid  stripe  white  long,festive  collection  piece  stitched,azaar  plaid  floral  checkered  striped  patterned  short  long  full  dress  indian  plaid,loose  cut  striped  long  plaid  short  red,lace  neckline  sleeve,multicolor  pink  red  striped  floral  green  white  tan  brown  blue  gray  white,,plaid  striped  floral  stripe  plain  classic  kameez  long  short  medium  yes  cotton  dress  blue  long,plaid  striped  floral  stripe  flower
https://www.junaidjamshed.com/yellow-jacquard-unstitched-3pc-jlawn-s-24-284.html,pkr 9 950.00,JLAWN-S-24-284,jacquard,striped  white  unknown  plain  dress,spring  summer  collection  unstitched  piece,meter  solid  striped  plain  dress  stripe  slack  long  wood,solid  striped  plain  stripe  plaid,,yellow  blue  orange  gray  gold  tan  brown  beige  tan,3 piece,striped  solid  stripe  plaid  plain dress  blue  cotton  unknown,striped  floral  stripe  solid  plain
https://www.junaidjamshed.com/multicolor-lawn-kurti-jjlk-s-jss-24-375.html,pkr 2 560.00,JJLK-S-JSS-24-375,lawn,extended  collar  plain  white  solid  striped  unknown,festive  collection  lady  kurti,,printed  sleeve  short  long  floral  plaid  white,button  detail  neckline,multicolor  blue  floral  red  flower  white,,printed  front  floral  flower  plaid  solid  back  regular  shirt  short  long  medium  cotton  blue  unknown  dress  length,
https://www.junaidjamshed.com/black-lawn-unstitched-3pc-jlawn-s-24-452.html,pkr 4 410.00,JLAWN-S-24-452,lawn  chiffon,striped  plaid  checkered  plain  white,festive  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,meter  solid  floral  plain  paisley  patterned  short  dress  long  jean  short,plaid  solid  plain  striped  floral,,black  blue  white  gray  brown  purple  black,3 piece,plaid  floral  solid  striped  checkered cotton  blue  dress  button,paisley  floral  checkered  plaid  flower
https://www.junaidjamshed.com/white-lawn-unstitched-3pc-jlawn-s-23-234.html,pkr 8 950.00,JLAWN-S-23-234,lawn,white  dress  plain  striped  unknown,festive  collection  unstitched  piece,meter  striped  floral  plain  solid  checkered  dress  short  long  cotton,plain  solid  floral  striped  plaid,,white  gray  blue  pink  tan  beige  cream  tan,3 piece,solid  floral  plain  paisley  striped dress  cotton  white  blue  unknown,floral  flower  paisley  solid
https://www.junaidjamshed.com/mustard-polyester-stitched-3pc-jjpw-s-jps-24-3917.html,pkr 15 390.00,JJPW-S-JPS-24-3917,net  cotton,embroidered  striped  solid  plain  white  unknown,festive  collection  piece  stitched  formal  festive,azaar  solid  striped  floral  plain  patterned  short  long  neither  straight  wood  dress  full,straight  embroidered  long  striped  short  solid  black,button  tassel  dupatta,mustard  orange  brown  white  striped  tan  red  yellow,,straight  embroidered  striped  floral  stripe  solid  checkered  long  short  medium  inch  cotton  blue  unknown  dress,paisley  solid  checkered  floral  stripe
https://www.junaidjamshed.com/off-white-lawn-unstitched-3pc-jlawn-s-24-561.html,pkr 3 380.00,JLAWN-S-24-561,lawn  chiffon,striped  plaid  plain  white  dress,monsoon  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,meter  striped  solid  plain  stripe  jean  dress  long  slack  wood,striped  plaid  solid  plain  stripe,,white  blue  gray  black  striped  blue,3 piece,floral  paisley  striped  solid  plaid cotton  dress  blue  unknown,paisley  flower  indian  floral  unknown
https://www.junaidjamshed.com/grey-lawn-stitched-3pc-jlawn-s-24-107.html,pkr 8 410.00,JLAWN-S-24-107,lawn,round  neck  slit  lace  finishing  long  striped  white  plain  solid,festive  collection  piece  stitched,dyed  straight  trouser  solid  plain  floral  checkered  patterned  short  long  jean  cold  dress  slack,gold  glitter  printed  sleeve  long  short  white  striped  black,tassel  detail  neckline,grey  blue  purple  white  gray  yellow  black  brown  gray,,gold  glitter  printed  front  solid  floral  plain  checkered  polka  dot  back  classic  kameez  long  short  medium  yes  blue  dress  cotton  shirt  unknown  length,solid  flower  floral  plain  polka  dot
https://www.junaidjamshed.com/light-yellow-lawn-kurti-jjlk-s-jss-23-347.html,pkr 7 690.00,JJLK-S-JSS-23-347,lawn,slit  loop  button  striped  white  solid  plain  unknown,embroidered  foil  lawn  shirt  spring  summer  collection  lady  kurti,,plain  lace  organza  long  short  blue  striped  white,,light  yellow  blue  white  black  gray  plaid,,embroidered  foil  floral  solid  plain  flower  plaid  straight  short  long  medium  blue  cotton  dress  white  unknown  long,
https://www.junaidjamshed.com/black-raw-silk-stitched-3pc-jjpw-s-jps-24-3903.html,pkr 17 440.00,JJPW-S-JPS-24-3903,formal  sleeve  neck  length  style  cut  neckline  boat  embroidered  shirt  front  pant  raw  trouser  straight  silk  type  full  dhaka  fabric  long,striped  white  solid  unknown  plain,festive  collection  piece  stitched,checkered  polka  dot  striped  solid  short  long  jean  dress  black  long,short  long  black  white  striped,,black  white  blue  gray  brown  white,,striped  solid  checkered  stripe  plain short  long  medium  yes  dress  blue  cotton  unknown,polka  dot  flower  floral  checkered
https://www.junaidjamshed.com/brown-textured-kurti-jjlk-s-jss-24-403.html,pkr 5 330.00,JJLK-S-JSS-24-403,textured,embroidered  boat  neck  slit  striped  white  unknown  plaid  solid,festive  collection  lady  kurti,,printed  bell  sleeve  plaid  long  short  striped  black,button  front  slit,brown  white  pink  red  plaid  black,,printed  straight  front  striped  floral  plaid  stripe  checkered  shirt  short  long  medium  yes  cotton  dress  blue  unknown  length,
https://www.junaidjamshed.com/brown-jacquard-unstitched-3pc-jlawn-s-24-279.html,pkr 7 180.00,JLAWN-S-24-279,jacquard,striped  white  unknown  solid  dress,spring  summer  collection  unstitched  piece,meter  solid  polka  dot  plain  checkered  striped  long  dress  wood  slack,solid  plain  striped  plaid  checkered,,brown  purple  gray  black  blue  black,3 piece,solid  plain  striped  polka  dot  paisley cotton  dress  blue  unknown,polka  dot  paisley  solid  star
https://www.junaidjamshed.com/multicolor-lawn-2pc-stitched-jlawn-s-jst-24-1686.html,pkr 4 920.00,JLAWN-S-JST-24-1686,lawn,extended  collar  striped  white  unknown  plain  stripe,printed  lawn  shirt  trouser  monsoon  collection  piece  stitched,printed  straight  trouser  striped  checkered  stripe  checkerboard  checker  short  long  wood  dress  yes  short,printed  sleeve  lace  finishing  short  striped  long  plaid  white,dori  tassel  detail  neckline,multicolor  white  striped  red  brown  gray  patterned,,printed  front  striped  stripe  solid  checkered  plain  back  regular  shirt  long  short  medium  yes  cotton  dress  plaid  cloth  length,
https://www.junaidjamshed.com/green-white-lawn-kurti-jjlk-s-jss-24-323.html,pkr 4 920.00,JJLK-S-JSS-24-323,lawn,boat  neckline  slit  opening  striped  solid  pink  plain  white,embroidered  printed  lawn  shirt  spring  summer  collection  lady  kurti  casual,,printed  sleeve  embroidered  border  short  long  striped  solid,hand  embellishment  sleeve,green  pink  white,,printed  front  embroidery  neckline  striped  solid  stripe  checkered  plaid  back  regular  kameez  short  long  medium  inch  cotton  dress  cloth  unknown  long,
https://www.junaidjamshed.com/multicolor-lawn-unstitched-3pc-jlawn-s-24-205.html,pkr 5 840.00,JLAWN-S-24-205,lawn  organza,striped  white  plaid  plain  solid,spring  summer  collection  lawn  shirt  organza  dupatta  unstitched  piece,meter  striped  checkered  plain  plaid  solid  dress  long  red  short,plaid  checkered  floral  solid  plain,,multicolor  purple  red  white  pink  black  maroon  pink,3 piece,checkered  floral  plaid  solid  paisley dress  striped  cotton  unknown,polka  dot  checkered  checkerboard  paisley
https://www.junaidjamshed.com/maroon-cambric-2pc-stitched-jlawn-s-jst-24-1689.html,pkr 4 920.00,JLAWN-S-JST-24-1689,cambric  lawn,slit  striped  checkered  solid  plain  unknown,printed  lawn  shirt  trouser  monsoon  collection  piece  stitched,printed  straight  trouser  checkered  plain  solid  plaid  striped  short  long  skirt  dress  plaid,printed  sleeve  plaid  long  striped  short  red,embellishment  neckline,maroon  red  white  blue  plaid  brown  patterned,,printed  front  checkered  plaid  floral  paisley  striped  back  loose  fit  box  kurta  short  long  medium  yes  cotton  dress  blue  unknown  length,
https://www.junaidjamshed.com/black-cambric-stitched-3pc-jlawn-s-24-387.html,pkr 11 280.00,JLAWN-S-24-387,cambric  lawn,round  neckline  placket  striped  solid  white  plain  plaid,festive  collection  piece  stitched,azaar  striped  solid  plain  checkered  paisley  short  long  full  dress  wood  short,bell  sleeve  short  long  black  striped  plaid,lace  tassel,black  red  gray  purple  striped  brown  white  blue  white,,straight  striped  paisley  solid  floral  plain  short  long  medium  yes  tall  dress  cotton  blue  polo  length,paisley  floral  flower  checkered  striped
https://www.junaidjamshed.com/lilac-textured-kurti-jjlk-s-jss-24-352.html,pkr 5 120.00,JJLK-S-JSS-24-352,textured  lawn,round  neckline  embroidered  front  striped  solid  pink  plain  white,embroidered  textured  shirt  spring  summer  collection  lady  kurti,,bell  sleeve  long  short  black  red  striped,tassel  front,lilac  purple  pink  red  gray  blue,,solid  floral  striped  plain  paisley long  short  medium  yes  dress  cotton  blue  white  length,
https://www.junaidjamshed.com/white-gold-silver-lawn-kurti-jjlk-s-jss-23-362.html,pkr 4 740.00,JJLK-S-JSS-23-362,lawn,maghzi  sherwani  collar  striped  dress  white  plain  unknown,printed  lawn  shirt  festive  collection  lady  kurti,,bell  sleeve  long  short  striped  white  gray,buttoning  neckline,white  gray  tan  plaid  beige,,straight  plaid  floral  plain  solid  paisley  long  short  medium  yes  dress  cotton  blue  white  unknown  small,
https://www.junaidjamshed.com/blue-2pc-stitched-jjpw-w-jw2-23-7058.html,pkr 6 770.00,JJPW-W-JW2-23-7058,khaddar,sherwani  collar  striped  white  solid  plain  blue,embroidered  khaddar  shirt  acrylic  shawl  winter  collection  piece  stitched,solid  floral  plain  striped  plaid  short  long  full  dress  skirt  striped,bell  sleeve  long  short  striped  black  red,lace  sleeve,blue  red  black  gray  white  maroon,,straight  solid  plain  striped  stripe  short  long  medium  yes  dress  blue  cotton  button  white  long,
https://www.junaidjamshed.com/multicolor-lawn-stitched-2pc-jlawn-s-jst-24-1640.html,pkr 5 330.00,JLAWN-S-JST-24-1640,lawn,extended  neckline  striped  white  blue  unknown  dress,screen  printed  lawn  shirt  trouser  festive  collection  piece  stitched,shalwar  solid  striped  floral  jean  plaid  short  long  full  medium  dress  cotton,loose  cut  short  plaid  long  black  striped,handwork  neckline,multicolor  blue  plaid  white  black  floral  brown  red  tan,,plaid  floral  solid  striped  checkered  loose  fit  dropped  shoulder  short  long  medium  tall  blue  dress  cotton  unknown  sure  mid,
https://www.junaidjamshed.com/multicolor-lawn-unstitched-3pc-jlawn-s-24-586.html,pkr 4 410.00,JLAWN-S-24-586,lawn  lawn,striped  floral  plaid  paisley  unknown,festive  collection  lawn  shirt  dupatta  unstitched  piece,striped  floral  paisley  checkered  solid  dress  wood  black  slack,striped  plaid  solid  floral  plain,,multicolor  red  black  gray  white  striped  brown  blue  white,3 piece,striped  floral  stripe  paisley  plaid cotton  dress  unknown  sure,paisley  floral  striped  stripe  flower
https://www.junaidjamshed.com/multicolor-lawn-unstitched-2pc-jlawn-s-jds-24-1020.html,pkr 3 070.00,JLAWN-S-JDS-24-1020,lawn  lawn,,spring  summer  collection  lawn  shirt  dupatta  unstitched  piece,,long  short  plaid  cold  striped,,multicolor  blue  red  white  black  pink  purple  orange,2 piece,floral  solid  paisley  plain  flower cotton  blue  dress  unknown  plaid,polka  dot  paisley  flower  floral
https://www.junaidjamshed.com/green-unstitched-3pc-jjls-w-jwu-23-1857.html,pkr 7 690.00,JJLS-W-JWU-23-1857,jacquard  jacquard,solid  plain  pink  striped  gray,winter  collection  jacquard  shirt  dupatta  unstitched  piece,meter  solid  plain  striped  stripe  dress  short  full  neither  wood,meter  solid  plain  striped  stripe,,green  gray  brown  pink  purple  black  tan  khaki  blue,3 piece,solid  plain  striped  floral  stripe dress  blue  unknown  cotton  old,solid  stripe  floral  striped  plain
https://www.junaidjamshed.com/white-cambric-unstitched-3pc-jlawn-s-24-374-khilat-04.html,pkr 5 840.00,JLAWN-S-24-374 KHILAT-04,cambric  lawn,striped  white  plain  solid  unknown,festive  collection  lawn  shirt  trouser  unstitched  piece,meter  solid  plain  checkered  polka  dot  short  dress  long  skirt  slack,plain  solid  floral  checkered  striped,,white  pink  blue  red  black  gray  brown  orange  yes,3 piece,polka  dot  floral  solid  plain dress  white  tank  top  cotton  blue,polka  dot  flower  floral
https://www.junaidjamshed.com/peach-raw-silk-3pc-stitched-jjpw-w-jw-22-1783.html,pkr 17 910.00,JJPW-W-JW-22-1783,silk  raw,boat  neck  striped  solid  plain  long  unknown,winter  collection  piece  stitched  basic  glitter  foil  raw  silk  shirt  dyed  trouser  velvet  dupatta,solid  plain  floral  print  paisley  short  long  straight  dress  striped  solid,full  sleeve  long  short  cold  open  white,tassel  lace,peach  orange  blue  white  gray  black  yellow  brown  peach,,straight  solid  floral  paisley  striped  plain  shirt  pant  velvet  shawl  long  short  medium  tall  dress  blue  cotton  tie  dye  unknown  long,paisley  solid  floral  flower  checkered
https://www.junaidjamshed.com/blue-handwoven-unstitched-3pc-jjls-w-jwu-23-1809.html,pkr 7 180.00,JJLS-W-JWU-23-1809,handwoven  jacquard  jacquard,striped  white  long  plain  dress,winter  collection  jacquard  shirt  dupatta  unstitched  piece,meter  striped  solid  polka  dot  stripe  dress  long  full  short,striped  solid  plain  stripe  plaid,,blue  white  orange  black  gray  brown  red  white,3 piece,striped  stripe  polka  dot  solid dress  blue  cotton  button,polka  dot  stripe  paisley
https://www.junaidjamshed.com/green-lawn-unstitched-3pc-jjls-s-jpwu-23-043.html,pkr 5 270.00,JJLS-S-JPWU-23-043,lawn  chiffon,striped  plain  plaid  solid  long,midsummer  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,meter  solid  plain  checkered  plaid  striped  dress  long  skirt  short,plaid  solid  plain  striped  checkered,,green  gray  blue  brown  plaid  black  tan  mint  white  teal,3 piece,solid  plaid  plain  striped  checkered dress  cotton  polo  blue,floral  plaid  polka  dot  flower  dot
https://www.junaidjamshed.com/white-cambric-3pc-stitched-jjpw-w-jw-22-1763-fb.html,pkr 13 170.00,JJPW-W-JW-22-1763 FB,cambric,band  collar  placket  button  plain  striped  white  dress  solid,winter  collection  piece  stitched,floral  solid  plain  paisley  flower  short  long  straight  pant  dress  skirt  plain,full  sleeve  loop  button  short  long  white  plain  striped,got  ta  lace  trimming  button,white  blue  gray  tan  brown  beige  khaki  floral  beige,,straight  floral  solid  plain  paisley  flower  kameez  pant  long  short  medium  tall  yes  dress  cotton  blue  tie  dye  length,floral  flower  solid  plain  paisley
https://www.junaidjamshed.com/multicolor-3pc-stitched-jjpw-w-jw-23-1710.html,pkr 8 820.00,JJPW-W-JW-23-1710,jacquard,v  neck  striped  solid  plain  white  unknown,jacquard  shirt  dupatta  khaddar  trouser  winter  collection  piece  stitched,straight  pant  solid  plain  striped  stripe  cotton  short  long  dress  plain,dyed  jacquard  bell  sleeve  long  short  black  white  open,dori  tassel  front,multicolor  blue  black  gray  white  teal  red  green  black,,dyed  jacquard  overlap  front  solid  plain  plaid  striped  stripe  straight  long  short  medium  yes  dress  blue  cotton  unknown  white  mid  length,solid  plain  stripe  unknown  striped
https://www.junaidjamshed.com/brown-unstitched-3pc-jjls-w-jwu-23-1815.html,pkr 7 180.00,JJLS-W-JWU-23-1815,jacquard  jacquard,white  solid  plain  striped  unknown,winter  collection  jacquard  shirt  dupatta  unstitched  piece,meter  solid  striped  floral  plain  plaid  dress  cotton  neither  full,solid  plain  floral  striped  plaid,,brown  orange  white  red  blue  tan  gray  blue,3 piece,solid  floral  plain  striped  flower cotton  blue  dress  unknown  polo,floral  flower  orange  solid
https://www.junaidjamshed.com/tea-pink-plain-3pc-stitched-jjpw-s-jps-23-3914.html,pkr 17 910.00,JJPW-S-JPS-23-3914,cotton  plain  paper  jacquard,round  neck  plain  solid  pink  white  long,semi  formal  festive  collection  piece  stitched  formal,jacquard  dhaka  pajama  solid  plain  striped  jean  long  short  full  dress  full,embroidered  sleeve  short  long  solid  black  pink,,tea  pink  red  purple  maroon  green  brown  black  yes,,embroidered  body  jacquard  panel  shirt  solid  plain  striped  stripe  floral  long  short  medium  yes  dress  cotton  unknown  tank  top  blue  medium,solid  plain  striped  stripe  floral
https://www.junaidjamshed.com/pink-lawn-unstitched-3pc-jlawn-s-24-176.html,pkr 5 740.00,JLAWN-S-24-176,lawn  chiffon,plain  striped  solid  pink  white,festive  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,meter  solid  plain  floral  striped  dress  long  cold  short  skirt,solid  plain  floral  plaid  flower,,pink  red  purple  brown  blue  gray  black  white  green  yes,3 piece,floral  solid  plain  plaid  flower dress  polo  blue  cotton  unknown,floral  solid  flower  plain  pink
https://www.junaidjamshed.com/off-white-raw-silk-3pc-stitched-jjpw-s-jps-22-3907.html,pkr 26 330.00,JJPW-S-JPS-22-3907,formal  sleeve  pant  neck  cut  embellishment  length  kurta  style  back  neckline  hand  screen  boat  shirt  front  raw  medium  printed  straight  silk  type  fabric  embellished,striped  solid  white  unknown  plain,festive  collection  piece  stitched,plaid  striped  solid  checkered  red  short  long  straight  dress  skirt  plaid,short  long  plaid  white  striped,,white  floral  striped  orange  pink  red  blue  black  brown  tan,,floral  striped  plaid  checkered  paisley long  short  medium  yes  dress  cotton  blue  white  unknown,plaid  checkered  paisley  floral  striped
https://www.junaidjamshed.com/black-lawn-unstitched-3pc-jlawn-s-24-204.html,pkr 5 840.00,JLAWN-S-24-204,lawn  organza,white  striped  solid  gray  black,spring  summer  collection  lawn  shirt  organza  dupatta  unstitched  piece,meter  solid  floral  black  plain  paisley  dress  long  full  short,solid  floral  plain  striped  plaid,,black  purple  gray  white  blue  gray,3 piece,floral  solid  plain  paisley  flower dress  cotton  blue  unknown  black,floral  flower  paisley  solid  flower
https://www.junaidjamshed.com/blue-jacquard-unstitched-3pc-jlawn-s-24-286.html,pkr 9 950.00,JLAWN-S-24-286,jacquard,striped  plain  white  plaid  blue,spring  summer  collection  unstitched  piece,meter  checkered  plain  solid  striped  patterned  dress  short  long  slack  full,solid  checkered  plain  plaid  floral,,blue  orange  teal  white  black  gray  brown  yellow  yes,3 piece,floral  solid  checkered  paisley  plaid blue  dress  cotton  button  unknown,polka  dot  floral  blue  flower
https://www.junaidjamshed.com/green-lawn-unstitched-3pc-jlawn-s-24-175.html,pkr 5 740.00,JLAWN-S-24-175,lawn  chiffon,striped  plain  plaid  solid  dress,festive  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,meter  solid  striped  plain  floral  plaid  dress  short  long  wood  striped,floral  plaid  plain  solid  striped,,green  blue  gray  teal  floral  black  white  tan  pink  mint,3 piece,floral  plain  plaid  solid  striped dress  cotton  blue  unknown,flower  floral  polka  dot  plaid
https://www.junaidjamshed.com/mustard-lawn-2pc-stitched-jlawn-s-jst-24-1657.html,pkr 5 120.00,JLAWN-S-JST-24-1657,lawn,band  collar  v  slit  striped  white  unknown  plain  solid,festive  collection  piece  stitched,azaar  striped  solid  plain  stripe  floral  short  long  neither  dress  skirt,loose  cut  long  short  striped  plaid  cotton,handwork  neckline,mustard  orange  white  yellow  blue  green  striped  tan,,plaid  solid  floral  checkered  striped  loose  fit  dropped  shoulder  short  long  medium  yes  cotton  dress  blue  long,
https://www.junaidjamshed.com/sky-blue-lawn-3pc-stitched-jlawn-s-23-059.html,pkr 12 330.00,JLAWN-S-23-059,lawn,boat  neck  plain  solid  striped  white  unknown,heavy  embroidered  gold  mill  print  lawn  shirt  dyed  trouser  basic  dupatta  spring  summer  collection  piece  stitched,azaar  solid  floral  plain  paisley  flower  short  long  straight  dress  full  cotton  straight,lose  sleeve  short  long  white  floral  black,buttoning  neckline  fabric  tasseling  sleeve,sky  blue  brown  gray  floral  black  white  red  orange  rust,,straight  floral  solid  plain  paisley  striped  long  short  medium  yes  dress  cotton  blue  unknown  mid  length,floral  flower  solid  paisley  blue
https://www.junaidjamshed.com/pink-lawn-unstitched-3pc-jlawn-s-24-307.html,pkr 6 150.00,JLAWN-S-24-307,lawn  jacquard,solid  white  plain  red  striped,spring  summer  collection  lawn  shirt  jacquard  dupatta  unstitched  piece,meter  solid  plain  striped  floral  checkered  dress  long  short  red,solid  plain  striped  floral  red,,pink  red  white  orange  black  blue  yes,3 piece,solid  floral  plain  paisley  striped dress  red  striped  cotton  unknown,solid  floral  paisley  flower  plain
https://www.junaidjamshed.com/grey-silk-unstitched-3pc-jlawn-s-24-083.html,pkr 12 310.00,JLAWN-S-24-083,silk,striped  plain  white  unknown  dress,spring  summer  collection  unstitched  piece,meter  floral  striped  solid  plain  paisley  dress  short  long  skirt,striped  floral  solid  plaid  plain,,grey  gray  green  brown  white  floral  blue  black  tan  yellow  white,3 piece,floral  striped  paisley  solid  plaid dress  cotton  blue  unknown,floral  flower  paisley  striped  solid
https://www.junaidjamshed.com/purple-lawn-kurti-jjlk-s-jss-24-360.html,pkr 3 070.00,JJLK-S-JSS-24-360,lawn,shirt  collar  white  solid  striped  plain  long,printed  lawn  shirt  spring  summer  collection  lady  kurti,,dropped  shoulder  long  short  white  striped  plaid,,purple  maroon  red  pink  brown,,floral  solid  paisley  flower  dropped  shoulder  cut  short  long  medium  yes  tall  dress  cotton  button  white  unknown  mid,
https://www.junaidjamshed.com/black-lawn-unstitched-3pc-jlawn-s-24-590.html,pkr 4 920.00,JLAWN-S-24-590,lawn  chiffon,striped  white  long  unknown  plain,festive  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,solid  checkered  striped  plain  plaid  dress  long  slack  short  striped,plaid  solid  plain  striped  floral,,black  red  white  gray  plaid  blue  brown  red,3 piece,plaid  solid  striped  plain  floral cotton  dress  button  blue,plaid  checkered  polka  dot  floral
https://www.junaidjamshed.com/green-lawn-unstitched-2pc-jlawn-s-jst-24-1636-gulbahar-01.html,pkr 3 690.00,JLAWN-S-JST-24-1636 GULBAHAR-01,lawn,,festive  collection  lawn  shirt  trouser  unstitched  piece,meter  striped  plaid  stripe  plain  checkered,short  plaid  long  striped  white,,green  blue  teal  plaid  white  black  gray,2 piece,plaid  striped  stripe  solid  checkered dress  cotton  blue,
https://www.junaidjamshed.com/white-gold-silver-lawn-kurti-jjlk-s-jss-23-364.html,pkr 4 740.00,JJLK-S-JSS-23-364,lawn,sherwani  collar  plaid  striped  white  plain  solid,printed  lawn  shirt  festive  collection  lady  kurti,,bell  sleeve  plaid  long  short  white  striped,buttoning,white  gray  blue  plaid,,straight  plaid  plain  floral  solid  striped  short  long  medium  yes  tall  cotton  dress  button  small,
https://www.junaidjamshed.com/multicolor-lawn-unstitched-3pc-jlawn-s-24-192.html,pkr 5 020.00,JLAWN-S-24-192,lawn,striped  white  plain  solid  long,spring  summer  collection  lawn  shirt  trouser  unstitched  piece,meter  striped  solid  plain  stripe  floral  dress  short  long  plain,solid  striped  plain  plaid  stripe,,multicolor  black  blue  white  gray  gray,3 piece,solid  striped  plain  floral  paisley dress  cotton  blue  tie  dye,polka  dot  solid  paisley  checkered
https://www.junaidjamshed.com/mustard-lawn-3pc-stitched-jlawn-s-24-168.html,pkr 7 890.00,JLAWN-S-24-168,lawn,embroidered  boat  neck  slit  striped  solid  white  plain  unknown,festive  collection  piece  stitched,azaar  striped  solid  plain  floral  stripe  short  long  straight  dress  wood,printed  straight  sleeve  emb  long  short  striped  white  black,button  tassel  front  slit,mustard  yellow  blue  white  striped  tan  brown  yes,,printed  straight  front  embroidery  striped  stripe  solid  plain  plaid  long  short  medium  tall  dress  cotton  tie  dye  unknown  length,polka  dot  floral  stripe  flower
https://www.junaidjamshed.com/orange-lawn-unstitched-2pc-jlawn-s-jds-24-1050.html,pkr 4 710.00,JLAWN-S-JDS-24-1050,lawn  lawn,,spring  summer  collection  lawn  shirt  dupatta  unstitched  piece,,short  striped  long  white  red,,orange  red  white  striped  brown  yellow  peach,2 piece,floral  striped  stripe  solid  paisley blue  dress  cotton  unknown,floral  flower  polka  dot  paisley
